name,location,rating,no_of_reviews,price_text,price_type,price_numeric,capacity,min_capacity,max_capacity,url
The Darenth,South East London,5.0,134.0,N/A,N/A,N/A,"30 to 300
Guests",30.0,300.0,https://www.hitched.co.uk/wedding-venues/the-darenth_3783.htm
The West Mill,South West London,4.9,85.0,From £43,meal,43.0,"50 to 160
Guests",50.0,160.0,https://www.hitched.co.uk/wedding-venues/the-west-mill_6263.htm
The Red Lion,"London - East, East London",5.0,1.0,From £100,meal,100.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/the-red-lion_377831.htm
Nobu Hotel Shoreditch,"City of London, East Central London",N/A,N/A,From £200,meal,200.0,"10 to 250
Guests",10.0,250.0,https://www.hitched.co.uk/wedding-venues/nobu-hotel-shoreditch_198781.htm
The Union Club,"Covent Garden, West Central London",5.0,8.0,From £150,meal,150.0,"12 to 150
Guests",12.0,150.0,https://www.hitched.co.uk/wedding-venues/the-union-club_4635.htm
The Fable,"City of London, East Central London",5.0,3.0,From £110,meal,110.0,"80 to 800
Guests",80.0,800.0,https://www.hitched.co.uk/wedding-venues/the-fable_6241.htm
The Coopers Arms,"Chelsea, South West London",N/A,N/A,N/A,N/A,N/A,"75
Guests",75.0,N/A,https://www.hitched.co.uk/wedding-venues/coopers-arms_6794.htm
Coach House at The Dog & Fox,"Merton, South West London",4.8,2.0,From £60,venue,60.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/coach-house-at-the-dog-fox_8568.htm
High House Weddings,East London,5.0,144.0,"From £5,000",venue,5000.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/high-house-weddings_6231.htm
The Mandarin Oriental Hyde Park Hotel,"London - South West, South West London",5.0,2.0,From £195,meal,195.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-mandarin-oriental-hyde-park-hotel_2706.htm
The Brewery,"City of London, East Central London",5.0,20.0,From £160,meal,160.0,"60 to 600
Guests",60.0,600.0,https://www.hitched.co.uk/wedding-venues/the-brewery_6187.htm
Oaks Farm,South East London,5.0,720.0,"From £2,450",venue,2450.0,"100
Guests",100.0,N/A,https://www.hitched.co.uk/wedding-venues/oaks-farm_487.htm
Glenmore House,South West London,5.0,215.0,From £37,meal,37.0,"140
Guests",140.0,N/A,https://www.hitched.co.uk/wedding-venues/glenmore-house_1365.htm
Trailfinders Sports Club,"Ealing, West London",4.9,3.0,From £60,meal,60.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/trailfinders-sports-club_275727.htm
St Giles House,South West London,5.0,4.0,"From £17,000",venue,17000.0,"70 to 160
Guests",70.0,160.0,https://www.hitched.co.uk/wedding-venues/st-giles-house_115289.htm
Stock Brook Country Club,South West London,5.0,312.0,From £95,meal,95.0,"75 to 500
Guests",75.0,500.0,https://www.hitched.co.uk/wedding-venues/stock-brook-country-club_844.htm
Driftwoods,"London Bridge, East Central London",N/A,N/A,From £195,meal,195.0,"60 to 195
Guests",60.0,195.0,https://www.hitched.co.uk/wedding-venues/driftwoods_371191.htm
The Phene,"Chelsea, South West London",N/A,N/A,From £48,meal,48.0,"10 to 65
Guests",10.0,65.0,https://www.hitched.co.uk/wedding-venues/the-phene_149570.htm
Copdock Hall,North London,5.0,17.0,"From £4,800",venue,4800.0,"20 to 180
Guests",20.0,180.0,https://www.hitched.co.uk/wedding-venues/copdock-hall_6389.htm
Fortnum & Mason,"City of London, East Central London",N/A,N/A,From £140,meal,140.0,"100 to 150
Guests",100.0,150.0,https://www.hitched.co.uk/wedding-venues/fortnum-&-mason_279331.htm
The Victoria,"Richmond Upon Thames, South West London",N/A,N/A,"From £6,500",venue,6500.0,"130
Guests",130.0,N/A,https://www.hitched.co.uk/wedding-venues/the-victoria_7395.htm
"Elaine's Bar, Restaurant and Deli","Covent Garden, West Central London",N/A,N/A,From £40,meal,40.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/elaines-bar-restaurant-and-deli_369389.htm
London Marriott Hotel Grosvenor Square,"Westminster, South West London",5.0,3.0,"From £12,000",venue,12000.0,"150 to 1000
Guests",150.0,1000.0,https://www.hitched.co.uk/wedding-venues/london-marriott-hotel-grosvenor-square_3894.htm
The Glass House at ANRÁN: Luxury Boutique Venue,South West London,5.0,23.0,"From £14,000",venue,14000.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/the-glass-house-at-anra-n-luxury-boutique-venue_194603.htm
Greenwich Yacht Club,"Greenwich, South East London",5.0,3.0,"From £3,000",venue,3000.0,"20 to 250
Guests",20.0,250.0,https://www.hitched.co.uk/wedding-venues/greenwich-yacht-club_8106.htm
Trinity House,"City of London, East Central London",4.9,12.0,"From £6,100",venue,6100.0,"10 to 180
Guests",10.0,180.0,https://www.hitched.co.uk/wedding-venues/trinity-house_6487.htm
The Marylebone Bar,"London - West, West London",5.0,1.0,From £16,meal,16.0,"40 to 200
Guests",40.0,200.0,https://www.hitched.co.uk/wedding-venues/the-marylebone-bar_338679.htm
London Marriott Hotel County Hall,"Westminster, South West London",N/A,N/A,From £100,meal,100.0,"10 to 70
Guests",10.0,70.0,https://www.hitched.co.uk/wedding-venues/london-marriott-hotel-county-hall_367335.htm
Abney Park Chapel,"London - North, North London",5.0,4.0,N/A,N/A,N/A,"70
Guests",70.0,N/A,https://www.hitched.co.uk/wedding-venues/abney-park-chapel_347307.htm
The Kings Oak Hotel,North London,5.0,75.0,From £75,meal,75.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/the-kings-oak-hotel_6453.htm
BMA House,West Central London,5.0,13.0,From £175,meal,175.0,"40 to 200
Guests",40.0,200.0,https://www.hitched.co.uk/wedding-venues/bma-house_2991.htm
Howfield Manor Hotel,South East London,5.0,12.0,From £70,meal,70.0,"30 to 120
Guests",30.0,120.0,https://www.hitched.co.uk/wedding-venues/howfield-manor-hotel_312497.htm
Never For Ever,"London - North West, North West London",5.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hitched.co.uk/wedding-venues/never-for-ever_312419.htm
The Crown Tavern,"Lewisham, East London",N/A,N/A,From £45,meal,45.0,"40 to 80
Guests",40.0,80.0,https://www.hitched.co.uk/wedding-venues/the-crown-tavern_8905.htm
Hayne House,South East London,5.0,71.0,From £50,meal,50.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/hayne-house_5580.htm
Blank Canvas Space at Sweet Space London,"London - North West, North West London",N/A,N/A,"From £2,200",venue,2200.0,"90 to 180
Guests",90.0,180.0,https://www.hitched.co.uk/wedding-venues/blank-canvas-space-at-sweet-space-london_361673.htm
Glaziers Hall,"London Bridge, East Central London",5.0,3.0,From £135,meal,135.0,"70 to 220
Guests",70.0,220.0,https://www.hitched.co.uk/wedding-venues/glaziers-hall_309213.htm
Dulwich Picture Gallery,"London - South East, South East London",4.8,10.0,"From £4,000",venue,4000.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/dulwich-picture-gallery_301918.htm
Park Hyatt River Thames,"Central London, South West London",N/A,N/A,From £165,meal,165.0,"30 to 300
Guests",30.0,300.0,https://www.hitched.co.uk/wedding-venues/park-hyatt-river-thames_364895.htm
Canova Hall,"London - South West, South West London",N/A,N/A,From £80,meal,80.0,"80 to 300
Guests",80.0,300.0,https://www.hitched.co.uk/wedding-venues/canova-hall_353477.htm
Wilton's Music Hall,"London - East, East London",4.9,14.0,"From £8,500",venue,8500.0,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/wiltons-music-hall_8089.htm
Wandsworth Civic Suite,"Tower Hamlets, South West London",5.0,2.0,"From £3,340",venue,3340.0,"100 to 530
Guests",100.0,530.0,https://www.hitched.co.uk/wedding-venues/the-civic-suite_2541.htm
Aragon House,"London - East, East London",N/A,N/A,From £110,meal,110.0,"15 to 70
Guests",15.0,70.0,https://www.hitched.co.uk/wedding-venues/aragon-house_313115.htm
Kimpton Fitzroy London,"Clerkenwell, East Central London",5.0,18.0,From £245,venue,245.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/kimpton-fitzroy-london_3629.htm
Old Thorns Hotel & Resort,South East London,4.9,65.0,"From £4,050",meal,4050.0,"40 to 500
Guests",40.0,500.0,https://www.hitched.co.uk/wedding-venues/old-thorns-manor-hotel-golf-country-estate_3383.htm
Pizza East,"London - East, East London",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hitched.co.uk/wedding-venues/pizza-east_353641.htm
Bush Hall,"Hammersmith & Fulham, West London",5.0,3.0,"From £3,500",venue,3500.0,"90 to 350
Guests",90.0,350.0,https://www.hitched.co.uk/wedding-venues/bush-hall_4431.htm
Pan Pacific London,"City of London, East Central London",N/A,N/A,From £155,meal,155.0,"280
Guests",280.0,N/A,https://www.hitched.co.uk/wedding-venues/pan-pacific-london_8977.htm
Cutty Sark,"Greenwich, South East London",5.0,1.0,"From £9,500",venue,9500.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/cutty-sark_6696.htm
Clevedon Hall,South West London,5.0,60.0,"From £5,000",venue,5000.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/clevedon-hall_5438.htm
The Prince Albert,"Wandsworth, South West London",N/A,N/A,From £35,meal,35.0,"25 to 100
Guests",25.0,100.0,https://www.hitched.co.uk/wedding-venues/the-prince-albert_7150.htm
Royal Mid-Surrey Golf Club,"Richmond Upon Thames, South West London",5.0,1.0,From £100,meal,100.0,"40 to 180
Guests",40.0,180.0,https://www.hitched.co.uk/wedding-venues/royal-mid-surrey-golf-club_8055.htm
Farnham Castle,North London,4.9,52.0,"From £4,000",venue,4000.0,"30 to 265
Guests",30.0,265.0,https://www.hitched.co.uk/wedding-venues/farnham-castle_7363.htm
Regent's Events,"Covent Garden, West Central London",5.0,10.0,From £130,meal,130.0,"50 to 1000
Guests",50.0,1000.0,https://www.hitched.co.uk/wedding-venues/regents-events_193323.htm
The Kings Head,"London - North, North London",5.0,2.0,From £60,meal,60.0,"1 to 80
Guests",1.0,80.0,https://www.hitched.co.uk/wedding-venues/the-kings-head_8356.htm
Sofitel London St James,"Westminster, South West London",5.0,8.0,From £174,meal,174.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/sofitel-london-st-james_6175.htm
Hedsor House,South West London,5.0,129.0,"From £6,450",venue,6450.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/hedsor-house_5019.htm
Kingswood Arts CIC,"London - South East, South East London",5.0,4.0,From £70,meal,70.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/kingswood-arts-cic_312949.htm
The County Arms,"Wandsworth, South West London",5.0,4.0,From £500,venue,500.0,"15 to 120
Guests",15.0,120.0,https://www.hitched.co.uk/wedding-venues/the-county-arms_7120.htm
Fennes,North London,5.0,535.0,N/A,N/A,N/A,"50 to 700
Guests",50.0,700.0,https://www.hitched.co.uk/wedding-venues/fennes_833.htm
"The Standard, London","City of London, East Central London",N/A,N/A,From £250,meal,250.0,"20 to 140
Guests",20.0,140.0,https://www.hitched.co.uk/wedding-venues/the-standard-london_305122.htm
The Sail Loft,"Greenwich, South East London",N/A,N/A,From £65,meal,65.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/the-sail-loft_371199.htm
London Marriott Hotel Maida Vale,"London - North West, North West London",5.0,6.0,"From £3,500",venue,3500.0,"50 to 120
Guests",50.0,120.0,https://www.hitched.co.uk/wedding-venues/london-marriott-hotel-maida-vale_3922.htm
The Clarendon Hotel,"Greenwich, South East London",4.8,6.0,From £59,meal,59.0,"25 to 200
Guests",25.0,200.0,https://www.hitched.co.uk/wedding-venues/the-clarendon-hotel_1528.htm
Davy’s Wine Vaults,"Greenwich, South East London",5.0,1.0,From £35,meal,35.0,"40 to 180
Guests",40.0,180.0,https://www.hitched.co.uk/wedding-venues/davys-wine-vaults_8402.htm
Brunswick House,"Central London, South West London",N/A,N/A,"From £3,500",venue,3500.0,"30 to 110
Guests",30.0,110.0,https://www.hitched.co.uk/wedding-venues/brunswick-house_366681.htm
Bodleian Libraries,South West London,5.0,12.0,"From £2,900",venue,2900.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-bodleian-libraries_7031.htm
The Guard House,"Greenwich, South East London",N/A,N/A,From £50,meal,50.0,"20 to 100
Guests",20.0,100.0,https://www.hitched.co.uk/wedding-venues/the-guard-house_7148.htm
The Oystercatcher,"Greenwich, South East London",5.0,16.0,From £55,meal,55.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/the-oyster-catcher_8813.htm
Crowne Plaza London Docklands,"London - East, East London",5.0,7.0,From £79,meal,79.0,"160
Guests",160.0,N/A,https://www.hitched.co.uk/wedding-venues/crowne-plaza-london-docklands_3490.htm
Hare & Hounds,"London - East, East London",4.8,1.0,From £50,meal,50.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/hare-&-hounds_360897.htm
'SMITHS' of Smithfield,"City of London, East Central London",5.0,3.0,From £65,meal,65.0,"25 to 100
Guests",25.0,100.0,https://www.hitched.co.uk/wedding-venues/smiths-of-smithfield_194931.htm
Guildford Manor Hotel & Spa,South West London,4.9,135.0,From £125,meal,125.0,"50 to 120
Guests",50.0,120.0,https://www.hitched.co.uk/wedding-venues/guildford-manor-hotel-spa_3712.htm
The Refinery at Regent's Place,East Central London,4.8,2.0,From £110,meal,110.0,"80 to 300
Guests",80.0,300.0,https://www.hitched.co.uk/wedding-venues/the-refinery-at-regents-place_137760.htm
The Admiral Hardy,"Greenwich, South East London",4.9,24.0,From £35,meal,35.0,"30 to 150
Guests",30.0,150.0,https://www.hitched.co.uk/wedding-venues/the-admiral-hardy_8616.htm
The Chesterton Hotel,West London,N/A,N/A,From £100,venue,100.0,"80 to 300
Guests",80.0,300.0,https://www.hitched.co.uk/wedding-venues/the-chesterton-hotel_304734.htm
Morden Hall,South West London,5.0,55.0,"From £4,000",venue,4000.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/morden-hall_6497.htm
Bread Street Kitchen & Bar - Southwark,"London - South East, South East London",4.6,1.0,From £55,meal,55.0,"2 to 140
Guests",2.0,140.0,https://www.hitched.co.uk/wedding-venues/bread-street-kitchen-&-bar-southwark_331035.htm
Port Lympne Hotel & Reserve,South East London,5.0,75.0,From £199,meal,199.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/port-lympne-hotel-reserve_1246.htm
The Jolly Gardeners,"London - South East, South East London",5.0,19.0,"From £5,000",venue,5000.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/the-jolly-gardeners_300586.htm
The Old Kent Barn,East London,5.0,35.0,"From £4,500",venue,4500.0,"20 to 250
Guests",20.0,250.0,https://www.hitched.co.uk/wedding-venues/the-old-kent-barn_6755.htm
Manzi's,"Central London, South West London",N/A,N/A,From £45,venue,45.0,"20 to 100
Guests",20.0,100.0,https://www.hitched.co.uk/wedding-venues/manzis_363587.htm
Balfour St Barts,"City of London, East Central London",5.0,9.0,From £80,meal,80.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/balfour-st-barts_194131.htm
The Bromley Court Hotel,South East London,5.0,93.0,From £115,meal,115.0,"10 to 250
Guests",10.0,250.0,https://www.hitched.co.uk/wedding-venues/bromley-court-hotel_160.htm
Browns Hotel,"London - West, West London",4.9,4.0,From £205,meal,205.0,"20 to 70
Guests",20.0,70.0,https://www.hitched.co.uk/wedding-venues/browns-hotel_2663.htm
Avington Park,South West London,N/A,N/A,"From £5,000",venue,5000.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/avington-park_280454.htm
Drapers' Hall,"City of London, East Central London",5.0,11.0,"From £4,000",venue,4000.0,"2 to 276
Guests",2.0,276.0,https://www.hitched.co.uk/wedding-venues/drapers-hall_5557.htm
The Bedford,"Wandsworth, South West London",5.0,14.0,N/A,N/A,N/A,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/the-bedford_8511.htm
Botanica Hall,"London - South West, South West London",N/A,N/A,From £80,meal,80.0,"80 to 300
Guests",80.0,300.0,https://www.hitched.co.uk/wedding-venues/botanica-hall_353479.htm
Enderby House,"Greenwich, South East London",5.0,1.0,From £50,meal,50.0,"1 to 60
Guests",1.0,60.0,https://www.hitched.co.uk/wedding-venues/enderby-house_297297.htm
Pitzhanger Manor and Gallery,"London - West, West London",4.9,3.0,"From £2,500",venue,2500.0,"5 to 90
Guests",5.0,90.0,https://www.hitched.co.uk/wedding-venues/pitzhanger-manor-and-gallery_362733.htm
The Stratford Hotel,"London - East, East London",N/A,N/A,From £50,meal,50.0,"1 to 250
Guests",1.0,250.0,https://www.hitched.co.uk/wedding-venues/the-stratford-hotel_282068.htm
Rowhill Grange Hotel & Utopia Spa,South East London,5.0,202.0,From £80,meal,80.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/rowhill-grange-hotel-utopia-spa_1294.htm
The Grange,"London - West, West London",5.0,3.0,N/A,N/A,N/A,"20 to 80
Guests",20.0,80.0,https://www.hitched.co.uk/wedding-venues/the-grange_7126.htm
The Bulls Head,"Richmond Upon Thames, South West London",N/A,N/A,From £70,meal,70.0,"10 to 80
Guests",10.0,80.0,https://www.hitched.co.uk/wedding-venues/the-bulls-head_7116.htm
Deene Park Estate,South West London,5.0,10.0,"From £7,425",venue,7425.0,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/deene-park-estate_9013.htm
Hampton Court Palace,"London - South West, South West London",5.0,2.0,"From £3,500",venue,3500.0,"2 to 1500
Guests",2.0,1500.0,https://www.hitched.co.uk/wedding-venues/hampton-court-palace_189911.htm
The Lion,South East London,5.0,17.0,"From £2,000",venue,2000.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/the-lion_8569.htm
Wise Wedding Venue,South East London,5.0,3.0,"From £3,000",venue,3000.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/wise-wedding-venue_5332.htm
MKII,"Hackney, East London",5.0,2.0,"From £1,400",venue,1400.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/mkii_194823.htm
London Marriott Hotel Regents Park,"London - North West, North West London",N/A,N/A,"From £7,500",venue,7500.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/london-marriott-hotel-regents-park_367333.htm
Bread Street Kitchen - Limehouse,"London - East, East London",5.0,2.0,N/A,N/A,N/A,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/bread-street-kitchen-limehouse_353645.htm
The Honourable Society of Lincoln's Inn,"Central London, South West London",N/A,N/A,"From £5,000",venue,5000.0,"60 to 280
Guests",60.0,280.0,https://www.hitched.co.uk/wedding-venues/the-honourable-society-of-lincolns-inn_8228.htm
The Hollywood Arms,"Chelsea, South West London",N/A,N/A,From £500,venue,500.0,"30 to 80
Guests",30.0,80.0,https://www.hitched.co.uk/wedding-venues/the-hollywood-arms_7117.htm
Tudor Barn Eltham,"Greenwich, South East London",4.8,75.0,"From £1,250",venue,1250.0,"30 to 180
Guests",30.0,180.0,https://www.hitched.co.uk/wedding-venues/tudor-barn-eltham_193805.htm
Dulwich College Events,"London - South East, South East London",5.0,24.0,"From £1,785",venue,1785.0,"50 to 400
Guests",50.0,400.0,https://www.hitched.co.uk/wedding-venues/dulwich-college-events_2239.htm
The Richmond Hill Hotel,"Richmond Upon Thames, South West London",4.9,53.0,From £84,meal,84.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/the-richmond-hill-hotel_2063.htm
St Ermin's Hotel,"London - South West, South West London",5.0,10.0,From £125,meal,125.0,"60 to 150
Guests",60.0,150.0,https://www.hitched.co.uk/wedding-venues/st-ermins-hotel_126522.htm
The Old Brewery,"Greenwich, South East London",N/A,N/A,N/A,N/A,N/A,"50 to 110
Guests",50.0,110.0,https://www.hitched.co.uk/wedding-venues/the-old-brewery_297299.htm
Sugar Studios,"Greenwich, South East London",5.0,1.0,"From £2,000",venue,2000.0,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/sugar-studios_329453.htm
One Friendly Place,"London - South East, South East London",5.0,5.0,"From £4,500",venue,4500.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/one-friendly-place_348799.htm
The Ned,"City of London, East Central London",5.0,1.0,From £250,meal,250.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-ned_7160.htm
Bellanger,"London - North, North London",5.0,1.0,From £55,meal,55.0,"20 to 80
Guests",20.0,80.0,https://www.hitched.co.uk/wedding-venues/bellanger_363943.htm
De Vere Grand Connaught Rooms,"Kensington & Chelsea, West London",5.0,4.0,"From £7,000",venue,7000.0,"100 to 440
Guests",100.0,440.0,https://www.hitched.co.uk/wedding-venues/de-vere-grand-connaught-rooms_4622.htm
Le Gothique,"Wandsworth, South West London",5.0,40.0,From £50,meal,50.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/le-gothique_2537.htm
Castle Green,"Barking & Dagenham, East London",5.0,3.0,N/A,N/A,N/A,"400
Guests",400.0,N/A,https://www.hitched.co.uk/wedding-venues/castle-green_7673.htm
Hampton Court House,South West London,5.0,54.0,"From £4,200",venue,4200.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/hampton-court-house_5761.htm
The Dukes Head,"Putney, South West London",5.0,9.0,From £45,meal,45.0,"15 to 120
Guests",15.0,120.0,https://www.hitched.co.uk/wedding-venues/the-dukes-head_7119.htm
The Westin London City,"London - East, East London",5.0,1.0,From £140,meal,140.0,"20 to 112
Guests",20.0,112.0,https://www.hitched.co.uk/wedding-venues/the-westin-london-city_323267.htm
Barnett Hill,South West London,4.9,95.0,From £100,meal,100.0,"10 to 120
Guests",10.0,120.0,https://www.hitched.co.uk/wedding-venues/barnett-hill_2932.htm
Teatro Hall,"Ealing, West London",4.9,5.0,From £80,meal,80.0,"80 to 350
Guests",80.0,350.0,https://www.hitched.co.uk/wedding-venues/teatro-hall_353475.htm
